"","","m_true_new"
"1",-2,1.38879438647711e-11
"2",-1.99,1.45999939731162e-11
"3",-1.98,1.53485516711897e-11
"4",-1.97,1.61354887431431e-11
"5",-1.96,1.69627729415529e-11
"6",-1.95,1.78324729078284e-11
"7",-1.94,1.87467633448914e-11
"8",-1.93,1.97079304550669e-11
"9",-1.92,2.07183776567796e-11
"10",-1.91,2.17806315943521e-11
"11",-1.9,2.28973484559312e-11
"12",-1.89,2.40713206153425e-11
"13",-1.88,2.53054836144786e-11
"14",-1.87,2.66029235036839e-11
"15",-1.86,2.79668845584872e-11
"16",-1.85,2.94007773919803e-11
"17",-1.84,3.0908187483128e-11
"18",-1.83,3.24928841423322e-11
"19",-1.82,3.41588299366717e-11
"20",-1.81,3.5910190598384e-11
"21",-1.8,3.77513454413658e-11
"22",-1.79,3.96868983117379e-11
"23",-1.78,4.17216890998594e-11
"24",-1.77,4.38608058425752e-11
"25",-1.76,4.61095974459563e-11
"26",-1.75,4.84736870603529e-11
"27",-1.74,5.09589861411986e-11
"28",-1.73,5.35717092307286e-11
"29",-1.72,5.63183894975712e-11
"30",-1.71,5.92058950730725e-11
"31",-1.7,6.22414462252038e-11
"32",-1.69,6.54326334129908e-11
"33",-1.68,6.87874362666144e-11
"34",-1.67,7.23142435406443e-11
"35",-1.66,7.60218740902942e-11
"36",-1.65,7.99195989231522e-11
"37",-1.64,8.40171643815298e-11
"38",-1.63,8.83248165133954e-11
"39",-1.62,9.28533266928275e-11
"40",-1.61,9.76140185540657e-11
"41",-1.6,1.02618796306488e-10
"42",-1.59,1.07880174501342e-10
"43",-1.58,1.13411309324636e-10
"44",-1.57,1.19226031494457e-10
"45",-1.56,1.25338880844973e-10
"46",-1.55,1.31765142683593e-10
"47",-1.54,1.38520886012188e-10
"48",-1.53,1.45623003707976e-10
"49",-1.52,1.53089254764512e-10
"50",-1.51,1.60938308698414e-10
"51",-1.5,1.69189792232888e-10
"52",-1.49,1.77864338374756e-10
"53",-1.48,1.86983638007721e-10
"54",-1.47,1.96570494130871e-10
"55",-1.46,2.06648878878054e-10
"56",-1.45,2.17243993460707e-10
"57",-1.44,2.28382331184e-10
"58",-1.43,2.40091743693904e-10
"59",-1.42,2.52401510620814e-10
"60",-1.41,2.65342412793874e-10
"61",-1.4,2.78946809209081e-10
"62",-1.39,2.93248717943629e-10
"63",-1.38,3.08283901218829e-10
"64",-1.37,3.24089954824273e-10
"65",-1.36,3.40706402126909e-10
"66",-1.35,3.58174792900029e-10
"67",-1.34,3.76538807219354e-10
"68",-1.33,3.95844364685969e-10
"69",-1.32,4.16139739249243e-10
"70",-1.31,4.37475679916849e-10
"71",-1.3,4.59905537653719e-10
"72",-1.29,4.83485398787229e-10
"73",-1.28,5.08274225252249e-10
"74",-1.27,5.34334002026683e-10
"75",-1.26,5.61729892126191e-10
"76",-1.25,5.90530399545678e-10
"77",-1.24,6.20807540554958e-10
"78",-1.23,6.52637023776941e-10
"79",-1.22,6.86098439498615e-10
"80",-1.21,7.21275458688214e-10
"81",-1.2,7.58256042216239e-10
"82",-1.19,7.97132660803423e-10
"83",-1.18,8.38002526245701e-10
"84",-1.17,8.80967834494342e-10
"85",-1.16,9.26136021199047e-10
"86",-1.15,9.73620030353021e-10
"87",-1.14,1.02353859671178e-09
"88",-1.13,1.07601654269191e-09
"89",-1.12,1.13118509049205e-09
"90",-1.11,1.18918219021683e-09
"91",-1.1,1.25015286482386e-09
"92",-1.09,1.31424957275677e-09
"93",-1.08,1.38163258917063e-09
"94",-1.07,1.45247040670336e-09
"95",-1.06,1.52694015679506e-09
"96",-1.05,1.60522805260885e-09
"97",-1.04,1.68752985466078e-09
"98",-1.03,1.77405136032301e-09
"99",-1.02,1.86500891842452e-09
