"","","","m_true_new"
"1",-2,-2,1
"2",-1.9,-2,1
"3",-1.8,-2,1
"4",-1.7,-2,1
"5",-1.6,-2,1
"6",-1.5,-2,1
"7",-1.4,-2,1
"8",-1.3,-2,1
"9",-1.2,-2,1
"10",-1.1,-2,1
"11",-1,-2,-1
"12",-0.9,-2,-1
"13",-0.8,-2,-1
"14",-0.7,-2,-1
"15",-0.6,-2,-1
"16",-0.5,-2,-1
"17",-0.4,-2,-1
"18",-0.3,-2,-1
"19",-0.2,-2,-1
"20",-0.0999999999999999,-2,-1
"21",0,-2,1
"22",0.1,-2,1
"23",0.2,-2,1
"24",0.3,-2,1
"25",0.4,-2,1
"26",0.5,-2,1
"27",0.6,-2,1
"28",0.7,-2,1
"29",0.8,-2,1
"30",0.9,-2,1
"31",1,-2,1
"32",1.1,-2,-1
"33",1.2,-2,-1
"34",1.3,-2,-1
"35",1.4,-2,-1
"36",1.5,-2,-1
"37",1.6,-2,-1
"38",1.7,-2,-1
"39",1.8,-2,-1
"40",1.9,-2,-1
"41",2,-2,-1
"42",-2,-1.9,1
"43",-1.9,-1.9,1
"44",-1.8,-1.9,1
"45",-1.7,-1.9,1
"46",-1.6,-1.9,1
"47",-1.5,-1.9,1
"48",-1.4,-1.9,1
"49",-1.3,-1.9,1
"50",-1.2,-1.9,1
"51",-1.1,-1.9,1
"52",-1,-1.9,-1
"53",-0.9,-1.9,-1
"54",-0.8,-1.9,-1
"55",-0.7,-1.9,-1
"56",-0.6,-1.9,-1
"57",-0.5,-1.9,-1
"58",-0.4,-1.9,-1
"59",-0.3,-1.9,-1
"60",-0.2,-1.9,-1
"61",-0.0999999999999999,-1.9,-1
"62",0,-1.9,1
"63",0.1,-1.9,1
"64",0.2,-1.9,1
"65",0.3,-1.9,1
"66",0.4,-1.9,1
"67",0.5,-1.9,1
"68",0.6,-1.9,1
"69",0.7,-1.9,1
"70",0.8,-1.9,1
"71",0.9,-1.9,1
"72",1,-1.9,1
"73",1.1,-1.9,-1
"74",1.2,-1.9,-1
"75",1.3,-1.9,-1
"76",1.4,-1.9,-1
"77",1.5,-1.9,-1
"78",1.6,-1.9,-1
"79",1.7,-1.9,-1
"80",1.8,-1.9,-1
"81",1.9,-1.9,-1
"82",2,-1.9,-1
"83",-2,-1.8,1
"84",-1.9,-1.8,1
"85",-1.8,-1.8,1
"86",-1.7,-1.8,1
"87",-1.6,-1.8,1
"88",-1.5,-1.8,1
"89",-1.4,-1.8,1
"90",-1.3,-1.8,1
"91",-1.2,-1.8,1
"92",-1.1,-1.8,-1
"93",-1,-1.8,-1
"94",-0.9,-1.8,-1
"95",-0.8,-1.8,-1
"96",-0.7,-1.8,-1
"97",-0.6,-1.8,-1
"98",-0.5,-1.8,-1
"99",-0.4,-1.8,-1
"100",-0.3,-1.8,-1
"101",-0.2,-1.8,-1
"102",-0.0999999999999999,-1.8,-1
"103",0,-1.8,1
"104",0.1,-1.8,1
"105",0.2,-1.8,1
"106",0.3,-1.8,1
"107",0.4,-1.8,1
"108",0.5,-1.8,1
"109",0.6,-1.8,1
"110",0.7,-1.8,1
"111",0.8,-1.8,1
"112",0.9,-1.8,1
"113",1,-1.8,1
"114",1.1,-1.8,1
"115",1.2,-1.8,-1
"116",1.3,-1.8,-1
"117",1.4,-1.8,-1
"118",1.5,-1.8,-1
"119",1.6,-1.8,-1
"120",1.7,-1.8,-1
"121",1.8,-1.8,-1
"122",1.9,-1.8,-1
"123",2,-1.8,-1
"124",-2,-1.7,1
"125",-1.9,-1.7,1
"126",-1.8,-1.7,1
"127",-1.7,-1.7,1
"128",-1.6,-1.7,1
"129",-1.5,-1.7,1
"130",-1.4,-1.7,1
"131",-1.3,-1.7,1
"132",-1.2,-1.7,1
"133",-1.1,-1.7,-1
"134",-1,-1.7,-1
"135",-0.9,-1.7,-1
"136",-0.8,-1.7,-1
"137",-0.7,-1.7,-1
"138",-0.6,-1.7,-1
"139",-0.5,-1.7,-1
"140",-0.4,-1.7,-1
"141",-0.3,-1.7,-1
"142",-0.2,-1.7,-1
"143",-0.0999999999999999,-1.7,-1
"144",0,-1.7,1
"145",0.1,-1.7,1
"146",0.2,-1.7,1
"147",0.3,-1.7,1
"148",0.4,-1.7,1
"149",0.5,-1.7,1
"150",0.6,-1.7,1
"151",0.7,-1.7,1
"152",0.8,-1.7,1
"153",0.9,-1.7,1
"154",1,-1.7,1
"155",1.1,-1.7,1
"156",1.2,-1.7,-1
"157",1.3,-1.7,-1
"158",1.4,-1.7,-1
"159",1.5,-1.7,-1
"160",1.6,-1.7,-1
"161",1.7,-1.7,-1
"162",1.8,-1.7,-1
"163",1.9,-1.7,-1
"164",2,-1.7,-1
"165",-2,-1.6,1
"166",-1.9,-1.6,1
"167",-1.8,-1.6,1
"168",-1.7,-1.6,1
"169",-1.6,-1.6,1
"170",-1.5,-1.6,1
"171",-1.4,-1.6,1
"172",-1.3,-1.6,1
"173",-1.2,-1.6,-1
"174",-1.1,-1.6,-1
"175",-1,-1.6,-1
"176",-0.9,-1.6,-1
"177",-0.8,-1.6,-1
"178",-0.7,-1.6,-1
"179",-0.6,-1.6,-1
