"","V1"
"1",-2
"2",-1.99
"3",-1.98
"4",-1.97
"5",-1.96
"6",-1.95
"7",-1.94
"8",-1.93
"9",-1.92
"10",-1.91
"11",-1.9
"12",-1.89
"13",-1.88
"14",-1.87
"15",-1.86
"16",-1.85
"17",-1.84
"18",-1.83
"19",-1.82
"20",-1.81
"21",-1.8
"22",-1.79
"23",-1.78
"24",-1.77
"25",-1.76
"26",-1.75
"27",-1.74
"28",-1.73
"29",-1.72
"30",-1.71
"31",-1.7
"32",-1.69
"33",-1.68
"34",-1.67
"35",-1.66
"36",-1.65
"37",-1.64
"38",-1.63
"39",-1.62
"40",-1.61
"41",-1.6
"42",-1.59
"43",-1.58
"44",-1.57
"45",-1.56
"46",-1.55
"47",-1.54
"48",-1.53
"49",-1.52
"50",-1.51
"51",-1.5
"52",-1.49
"53",-1.48
"54",-1.47
"55",-1.46
"56",-1.45
"57",-1.44
"58",-1.43
"59",-1.42
"60",-1.41
"61",-1.4
"62",-1.39
"63",-1.38
"64",-1.37
"65",-1.36
"66",-1.35
"67",-1.34
"68",-1.33
"69",-1.32
"70",-1.31
"71",-1.3
"72",-1.29
"73",-1.28
"74",-1.27
"75",-1.26
"76",-1.25
"77",-1.24
"78",-1.23
"79",-1.22
"80",-1.21
"81",-1.2
"82",-1.19
"83",-1.18
"84",-1.17
"85",-1.16
"86",-1.15
"87",-1.14
"88",-1.13
"89",-1.12
"90",-1.11
"91",-1.1
"92",-1.09
"93",-1.08
"94",-1.07
"95",-1.06
"96",-1.05
"97",-1.04
"98",-1.03
"99",-1.02
"100",-1.01
"101",-1
"102",-0.99
"103",-0.98
"104",-0.97
"105",-0.96
"106",-0.95
"107",-0.94
"108",-0.93
"109",-0.92
"110",-0.91
"111",-0.9
"112",-0.89
"113",-0.88
"114",-0.87
"115",-0.86
"116",-0.85
"117",-0.84
"118",-0.83
"119",-0.82
"120",-0.81
"121",-0.8
"122",-0.79
"123",-0.78
"124",-0.77
"125",-0.76
"126",-0.75
"127",-0.74
"128",-0.73
"129",-0.72
"130",-0.71
"131",-0.7
"132",-0.69
"133",-0.68
"134",-0.67
"135",-0.66
"136",-0.65
"137",-0.64
"138",-0.63
"139",-0.62
"140",-0.61
"141",-0.6
"142",-0.59
"143",-0.58
"144",-0.57
"145",-0.56
"146",-0.55
"147",-0.54
"148",-0.53
"149",-0.52
"150",-0.51
"151",-0.5
"152",-0.49
"153",-0.48
"154",-0.47
"155",-0.46
"156",-0.45
"157",-0.44
"158",-0.43
"159",-0.42
"160",-0.41
"161",-0.4
"162",-0.39
"163",-0.38
"164",-0.37
"165",-0.36
"166",-0.35
"167",-0.34
"168",-0.33
"169",-0.32
"170",-0.31
"171",-0.3
"172",-0.29
"173",-0.28
"174",-0.27
"175",-0.26
"176",-0.25
"177",-0.24
"178",-0.23
"179",-0.22
"180",-0.21
"181",-0.2
"182",-0.19
"183",-0.18
"184",-0.17
"185",-0.16
"186",-0.15
"187",-0.14
"188",-0.13
"189",-0.12
"190",-0.11
"191",-0.0999999999999999
"192",-0.0899999999999999
"193",-0.0800000000000001
"194",-0.0700000000000001
"195",-0.06
"196",-0.05
"197",-0.04
"198",-0.03
"199",-0.02
"200",-0.01
"201",0
"202",0.0100000000000002
"203",0.02
"204",0.0300000000000002
"205",0.04
"206",0.0499999999999998
"207",0.06
"208",0.0699999999999998
"209",0.0800000000000001
"210",0.0899999999999999
"211",0.1
"212",0.11
"213",0.12
"214",0.13
"215",0.14
"216",0.15
"217",0.16
"218",0.17
"219",0.18
"220",0.19
"221",0.2
"222",0.21
"223",0.22
"224",0.23
"225",0.24
"226",0.25
"227",0.26
"228",0.27
"229",0.28
"230",0.29
"231",0.3
"232",0.31
"233",0.32
"234",0.33
"235",0.34
"236",0.35
"237",0.36
"238",0.37
"239",0.38
"240",0.39
"241",0.4
"242",0.41
"243",0.42
"244",0.43
"245",0.44
"246",0.45
"247",0.46
"248",0.47
"249",0.48
"250",0.49
"251",0.5
"252",0.51
"253",0.52
"254",0.53
"255",0.54
"256",0.55
"257",0.56
"258",0.57
"259",0.58
"260",0.59
"261",0.6
"262",0.61
"263",0.62
"264",0.63
"265",0.64
"266",0.65
"267",0.66
"268",0.67
"269",0.68
"270",0.69
"271",0.7
"272",0.71
"273",0.72
"274",0.73
"275",0.74
"276",0.75
"277",0.76
"278",0.77
"279",0.78
"280",0.79
"281",0.8
"282",0.81
"283",0.82
"284",0.83
"285",0.84
"286",0.85
"287",0.86
"288",0.87
"289",0.88
"290",0.89
"291",0.9
"292",0.91
"293",0.92
"294",0.93
"295",0.94
"296",0.95
"297",0.96
"298",0.97
"299",0.98
"300",0.99
"301",1
"302",1.01
"303",1.02
"304",1.03
"305",1.04
"306",1.05
"307",1.06
"308",1.07
"309",1.08
"310",1.09
"311",1.1
"312",1.11
"313",1.12
"314",1.13
"315",1.14
"316",1.15
"317",1.16
"318",1.17
"319",1.18
"320",1.19
"321",1.2
"322",1.21
"323",1.22
"324",1.23
"325",1.24
"326",1.25
"327",1.26
"328",1.27
"329",1.28
"330",1.29
"331",1.3
"332",1.31
"333",1.32
"334",1.33
"335",1.34
"336",1.35
"337",1.36
"338",1.37
"339",1.38
"340",1.39
"341",1.4
"342",1.41
"343",1.42
"344",1.43
"345",1.44
"346",1.45
"347",1.46
"348",1.47
"349",1.48
"350",1.49
"351",1.5
"352",1.51
"353",1.52
"354",1.53
"355",1.54
"356",1.55
"357",1.56
"358",1.57
"359",1.58
"360",1.59
"361",1.6
"362",1.61
"363",1.62
"364",1.63
"365",1.64
"366",1.65
"367",1.66
"368",1.67
"369",1.68
"370",1.69
"371",1.7
"372",1.71
"373",1.72
