"","V1","V2"
"1",-2,-2
"2",-1.9,-2
"3",-1.8,-2
"4",-1.7,-2
"5",-1.6,-2
"6",-1.5,-2
"7",-1.4,-2
"8",-1.3,-2
"9",-1.2,-2
"10",-1.1,-2
"11",-1,-2
"12",-0.9,-2
"13",-0.8,-2
"14",-0.7,-2
"15",-0.6,-2
"16",-0.5,-2
"17",-0.4,-2
"18",-0.3,-2
"19",-0.2,-2
"20",-0.0999999999999999,-2
"21",0,-2
"22",0.1,-2
"23",0.2,-2
"24",0.3,-2
"25",0.4,-2
"26",0.5,-2
"27",0.6,-2
"28",0.7,-2
"29",0.8,-2
"30",0.9,-2
"31",1,-2
"32",1.1,-2
"33",1.2,-2
"34",1.3,-2
"35",1.4,-2
"36",1.5,-2
"37",1.6,-2
"38",1.7,-2
"39",1.8,-2
"40",1.9,-2
"41",2,-2
"42",-2,-1.9
"43",-1.9,-1.9
"44",-1.8,-1.9
"45",-1.7,-1.9
"46",-1.6,-1.9
"47",-1.5,-1.9
"48",-1.4,-1.9
"49",-1.3,-1.9
"50",-1.2,-1.9
"51",-1.1,-1.9
"52",-1,-1.9
"53",-0.9,-1.9
"54",-0.8,-1.9
"55",-0.7,-1.9
"56",-0.6,-1.9
"57",-0.5,-1.9
"58",-0.4,-1.9
"59",-0.3,-1.9
"60",-0.2,-1.9
"61",-0.0999999999999999,-1.9
"62",0,-1.9
"63",0.1,-1.9
"64",0.2,-1.9
"65",0.3,-1.9
"66",0.4,-1.9
"67",0.5,-1.9
"68",0.6,-1.9
"69",0.7,-1.9
"70",0.8,-1.9
"71",0.9,-1.9
"72",1,-1.9
"73",1.1,-1.9
"74",1.2,-1.9
"75",1.3,-1.9
"76",1.4,-1.9
"77",1.5,-1.9
"78",1.6,-1.9
"79",1.7,-1.9
"80",1.8,-1.9
"81",1.9,-1.9
"82",2,-1.9
"83",-2,-1.8
"84",-1.9,-1.8
"85",-1.8,-1.8
"86",-1.7,-1.8
"87",-1.6,-1.8
"88",-1.5,-1.8
"89",-1.4,-1.8
"90",-1.3,-1.8
"91",-1.2,-1.8
"92",-1.1,-1.8
"93",-1,-1.8
"94",-0.9,-1.8
"95",-0.8,-1.8
"96",-0.7,-1.8
"97",-0.6,-1.8
"98",-0.5,-1.8
"99",-0.4,-1.8
"100",-0.3,-1.8
"101",-0.2,-1.8
"102",-0.0999999999999999,-1.8
"103",0,-1.8
"104",0.1,-1.8
"105",0.2,-1.8
"106",0.3,-1.8
"107",0.4,-1.8
"108",0.5,-1.8
"109",0.6,-1.8
"110",0.7,-1.8
"111",0.8,-1.8
"112",0.9,-1.8
"113",1,-1.8
"114",1.1,-1.8
"115",1.2,-1.8
"116",1.3,-1.8
"117",1.4,-1.8
"118",1.5,-1.8
"119",1.6,-1.8
"120",1.7,-1.8
"121",1.8,-1.8
"122",1.9,-1.8
"123",2,-1.8
"124",-2,-1.7
"125",-1.9,-1.7
"126",-1.8,-1.7
"127",-1.7,-1.7
"128",-1.6,-1.7
"129",-1.5,-1.7
"130",-1.4,-1.7
"131",-1.3,-1.7
"132",-1.2,-1.7
"133",-1.1,-1.7
"134",-1,-1.7
"135",-0.9,-1.7
"136",-0.8,-1.7
"137",-0.7,-1.7
"138",-0.6,-1.7
"139",-0.5,-1.7
"140",-0.4,-1.7
"141",-0.3,-1.7
"142",-0.2,-1.7
"143",-0.0999999999999999,-1.7
"144",0,-1.7
"145",0.1,-1.7
"146",0.2,-1.7
"147",0.3,-1.7
"148",0.4,-1.7
"149",0.5,-1.7
"150",0.6,-1.7
"151",0.7,-1.7
"152",0.8,-1.7
"153",0.9,-1.7
"154",1,-1.7
"155",1.1,-1.7
"156",1.2,-1.7
"157",1.3,-1.7
"158",1.4,-1.7
"159",1.5,-1.7
"160",1.6,-1.7
"161",1.7,-1.7
"162",1.8,-1.7
"163",1.9,-1.7
"164",2,-1.7
"165",-2,-1.6
"166",-1.9,-1.6
"167",-1.8,-1.6
"168",-1.7,-1.6
"169",-1.6,-1.6
"170",-1.5,-1.6
"171",-1.4,-1.6
"172",-1.3,-1.6
"173",-1.2,-1.6
"174",-1.1,-1.6
"175",-1,-1.6
"176",-0.9,-1.6
"177",-0.8,-1.6
"178",-0.7,-1.6
"179",-0.6,-1.6
"180",-0.5,-1.6
"181",-0.4,-1.6
"182",-0.3,-1.6
"183",-0.2,-1.6
"184",-0.0999999999999999,-1.6
